training_regime,chain,stage,layer,k,d_sae,nmse,mean_l0,L_base,L_sae,L_mean,frac_rec,step,n_tokens,mse,var,nmse_recomputed,mean_l0_raw,n_dead,dead_frac,dead_latents_pct,frac_rec_pct,delta_loss,expansion,model,architecture,optimizer,lr,checkpoint
PPO,flexible,ppo_step30,12,64,7168,0.00080000,64.00000000,2.60710000,2.87390000,10.19000000,0.96480000,30,89148,0.03679700,45.70770300,0.00080500,64.00000000,51,0.00711500,0.71150000,96.48000000,0.26680000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,flexible,ppo_step60,12,64,7168,0.00070000,64.00000000,2.81640000,3.07080000,10.35770000,0.96630000,60,89148,0.03346600,45.65264500,0.00073300,64.00000000,76,0.01060300,1.06030000,96.63000000,0.25440000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step60
PPO,flexible,ppo_step100,12,64,7168,0.00070000,64.00000000,3.06340000,3.34380000,10.54810000,0.96250000,100,89148,0.03242400,45.60456100,0.00071100,64.00000000,59,0.00823100,0.82310000,96.25000000,0.28040000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step100
PPO,flexible,ppo_step140,12,64,7168,0.00070000,64.00000000,3.17180000,3.42600000,10.57180000,0.96560000,140,89148,0.03147300,45.57363500,0.00069100,64.00000000,59,0.00823100,0.82310000,96.56000000,0.25420000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step140
PPO,flexible,ppo_step180,12,64,7168,0.00070000,64.00000000,3.24110000,3.52450000,10.71250000,0.96210000,180,89148,0.03122100,45.42641800,0.00068700,64.00000000,41,0.00572000,0.57200000,96.21000000,0.28340000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step180
PPO,flexible,ppo_step200,12,64,7168,0.00070000,64.00000000,3.22760000,3.52830000,10.76010000,0.96010000,200,89148,0.03043900,45.46381400,0.00067000,64.00000000,47,0.00655700,0.65570000,96.01000000,0.30070000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step200
PPO,flexible,instruct_base,18,64,7168,0.00380000,64.00000000,2.43880000,2.80830000,10.75790000,0.95560000,0,89148,0.17842800,46.41801100,0.00384400,64.00000000,29,0.00404600,0.40460000,95.56000000,0.36950000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,flexible,ppo_step10,18,64,7168,0.00350000,64.00000000,2.46220000,2.75630000,10.77620000,0.96460000,10,89148,0.16377700,46.42724600,0.00352800,64.00000000,123,0.01716000,1.71600000,96.46000000,0.29410000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
PPO,flexible,ppo_step30,18,64,7168,0.00340000,64.00000000,2.60710000,2.91640000,10.92190000,0.96280000,30,89148,0.15910200,46.41766400,0.00342800,64.00000000,41,0.00572000,0.57200000,96.28000000,0.30930000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step30
PPO,flexible,ppo_step60,18,64,7168,0.00340000,64.00000000,2.81640000,3.17440000,11.09840000,0.95680000,60,89148,0.15740700,46.34728600,0.00339600,64.00000000,4,0.00055800,0.05580000,95.68000000,0.35800000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step60
PPO,flexible,ppo_step100,18,64,7168,0.00340000,64.00000000,3.06340000,3.49040000,11.26570000,0.94790000,100,89148,0.15793400,46.28430900,0.00341200,64.00000000,8,0.00111600,0.11160000,94.79000000,0.42700000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step100
PPO,flexible,ppo_step140,18,64,7168,0.00340000,64.00000000,3.17180000,3.64630000,11.37900000,0.94220000,140,89148,0.15729300,46.25447100,0.00340100,64.00000000,4,0.00055800,0.05580000,94.22000000,0.47450000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step140
PPO,flexible,ppo_step180,18,64,7168,0.00340000,64.00000000,3.24110000,3.73220000,11.43730000,0.94010000,180,89148,0.15795500,46.10414100,0.00342600,64.00000000,5,0.00069800,0.06980000,94.01000000,0.49110000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step180
PPO,flexible,ppo_step200,18,64,7168,0.00340000,64.00000000,3.22760000,3.74830000,11.44550000,0.93660000,200,89148,0.15668500,46.14410800,0.00339600,64.00000000,12,0.00167400,0.16740000,93.66000000,0.52070000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step200
PPO,flexible,instruct_base,23,256,7168,0.17720000,256.00000000,2.43880000,2.70710000,15.48030000,0.97940000,0,89148,0.53794400,3.03565000,0.17720900,256.00000000,0,0.00000000,0.00000000,97.94000000,0.26830000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,instruct_base
PPO,flexible,ppo_step10,23,256,7168,0.16730000,256.00000000,2.46220000,2.71060000,15.76150000,0.98130000,10,89148,0.50631800,3.02575700,0.16733600,256.00000000,0,0.00000000,0.00000000,98.13000000,0.24840000,8.00000000,Qwen2.5-0.5B-Instruct,TopK,Adam,0.00010000,ppo_step10
