chain,layer,stage,step,n_tokens,n_features,n_alive,frac_alive,entropy_bits,effective_features,mean_density,max_density
flexible,18,ppo_step100,100,89148,7168,7115,0.9926060438156128,12.191329911952042,4676.877454944065,0.008928569965064526,0.9396845698356628
flexible,18,ppo_step140,140,89148,7168,7138,0.9958147406578064,12.205746930989486,4723.848336176942,0.008928571827709675,0.9273791909217834
flexible,18,ppo_step180,180,89148,7168,7146,0.9969307780265808,12.226305605308925,4791.645976230919,0.008928569965064526,0.8330192565917969
flexible,18,ppo_step200,200,89148,7168,7141,0.9962332844734192,12.235418440721494,4822.008373005943,0.0089285708963871,0.7017319798469543
flexible,23,instruct_base,0,89148,7168,7168,1.0,12.518582342063052,5867.711980664133,0.0357142835855484,0.4122582674026489
flexible,23,ppo_step10,10,89148,7168,7168,1.0,12.516731514266734,5860.189142573237,0.0357142873108387,0.5561201572418213
flexible,23,ppo_step30,30,89148,7168,7168,1.0,12.462938767011261,5645.707878050165,0.0357142873108387,0.6735204458236694
flexible,23,ppo_step60,60,89148,7168,7168,1.0,12.39815998981954,5397.815647934623,0.0357142873108387,0.7271503806114197
flexible,23,ppo_step100,100,89148,7168,7168,1.0,12.32008984941232,5113.480380148093,0.0357142873108387,0.7513124346733093
flexible,23,ppo_step140,140,89148,7168,7168,1.0,12.244339371136197,4851.9177246458,0.0357142873108387,0.7679476737976074
flexible,23,ppo_step180,180,89148,7168,7168,1.0,12.170010535112798,4608.2732045417815,0.0357142873108387,0.7767532467842102
flexible,23,ppo_step200,200,89148,7168,7168,1.0,12.104870345044553,4404.82914367588,0.0357142835855484,0.7771570682525635
strict,6,instruct_base,0,44574,7168,5943,0.8291015625,11.176698522452474,2314.8428221284016,0.008928571827709675,0.4732804000377655
strict,6,ppo_step10,10,44574,7168,6453,0.9002510905265808,11.564008056972849,3027.7031679186516,0.008928571827709675,0.5213801860809326
strict,6,ppo_step30,30,44574,7168,6661,0.9292689561843872,11.578794756626458,3058.894759016927,0.008928571827709675,0.48523804545402527
strict,6,ppo_step50,50,44574,7168,7095,0.9898158311843872,11.652004028138089,3218.123613556861,0.008928571827709675,0.48793017864227295
strict,6,ppo_step80,80,44574,7168,6982,0.9740513563156128,11.54942173896551,2997.245908378652,0.008928571827709675,0.7505047917366028
strict,6,ppo_step116,116,44574,7168,7104,0.9910714030265808,11.509936311728096,2916.326055517999,0.008928571827709675,0.507717490196228
strict,12,instruct_base,0,44574,7168,5930,0.8272879719734192,11.421398598145709,2742.733243654538,0.008928571827709675,0.5496029257774353
strict,12,ppo_step10,10,44574,7168,6678,0.931640625,11.881339191092367,3772.5889224193334,0.008928571827709675,0.5904114246368408
strict,12,ppo_step30,30,44574,7168,6556,0.9146205186843872,11.940153640103066,3929.564290225776,0.008928571827709675,0.6140799522399902
strict,12,ppo_step50,50,44574,7168,6789,0.9471260905265808,11.995092779771056,4082.091427551413,0.0089285708963871,0.6298739314079285
strict,12,ppo_step80,80,44574,7168,6727,0.9384765625,12.004353892597553,4108.379942043747,0.008928571827709675,0.6680351495742798
strict,12,ppo_step116,116,44574,7168,7110,0.9919084906578064,12.03257925477626,4189.549064606515,0.008928571827709675,0.6856014728546143
strict,18,instruct_base,0,44574,7168,6407,0.8938336968421936,11.557566263066645,3014.2142734578247,0.008928571827709675,0.8142639398574829
strict,18,ppo_step10,10,44574,7168,6527,0.9105747938156128,11.790416324296551,3542.166529172058,0.008928571827709675,0.8340287804603577
strict,18,ppo_step30,30,44574,7168,7022,0.9796317219734192,11.975041704294176,4025.7495431626057,0.008928571827709675,0.8677255511283875
