chain,layer,stage_from,stage_to,step_from,step_to,d_step,n_features,dec_cos_mean,dec_cos_median,dec_cos_q25,dec_cos_q75,dec_cos_min,dec_drift_per_step,enc_cos_mean,enc_cos_median,enc_drift_per_step,enc_dec_corr
flexible,12,ppo_step100,ppo_step140,100,140,40,7168,0.9784865975379944,0.9857583045959473,0.9793344736099243,0.9904574155807495,0.31516972184181213,0.0005378350615501404,0.9686508178710938,0.9764176607131958,0.0007837295532226562,0.291051625633574
flexible,12,ppo_step140,ppo_step180,140,180,40,7168,0.9867366552352905,0.9919339418411255,0.9889669418334961,0.994186520576477,0.3560193181037903,0.00033158361911773683,0.9804306626319885,0.9866365194320679,0.0004892334342002869,0.3092602638766941
flexible,12,ppo_step180,ppo_step200,180,200,20,7168,0.9850411415100098,0.9927160739898682,0.9900538921356201,0.994658887386322,0.48330429196357727,0.0007479429244995117,0.9815608263015747,0.9874835014343262,0.0009219586849212646,0.3782041169969466
flexible,18,instruct_base,ppo_step10,0,10,10,7168,0.8962821364402771,0.9260540008544922,0.8743404150009155,0.9559668302536011,0.3107130527496338,0.01037178635597229,0.8407295942306519,0.8990732431411743,0.015927040576934816,-0.13909144509514748
flexible,18,ppo_step10,ppo_step30,10,30,20,7168,0.9362260699272156,0.9639113545417786,0.9174653887748718,0.9752641916275024,0.3087100684642792,0.003188696503639221,0.938652515411377,0.9544389843940735,0.0030673742294311523,0.24236045982308213
flexible,18,ppo_step30,ppo_step60,30,60,30,7168,0.9360533952713013,0.9653551578521729,0.9135223031044006,0.9763490557670593,-0.1936083734035492,0.0021315534909566243,0.9422451257705688,0.9541634321212769,0.0019251624743143716,0.5317030788926983
flexible,18,ppo_step60,ppo_step100,60,100,40,7168,0.9744971394538879,0.9835240840911865,0.9690631031990051,0.9883419871330261,-0.19150665402412415,0.0006375715136528015,0.9690812826156616,0.9766299724578857,0.0007729679346084595,0.4879554772449172
flexible,18,ppo_step100,ppo_step140,100,140,40,7168,0.988740086555481,0.991828441619873,0.9870563745498657,0.9944849610328674,0.42126911878585815,0.0002814978361129761,0.9836984872817993,0.987927258014679,0.0004075378179550171,0.37455265298487267
flexible,18,ppo_step140,ppo_step180,140,180,40,7168,0.9921752214431763,0.993916928768158,0.9912077188491821,0.9960173964500427,0.26457950472831726,0.00019561946392059325,0.9877728223800659,0.9909512996673584,0.00030567944049835204,0.482933998292928
flexible,18,ppo_step180,ppo_step200,180,200,20,7168,0.9954098463058472,0.9964384436607361,0.9951074123382568,0.9976685047149658,0.8227658867835999,0.0002295076847076416,0.9934173822402954,0.9945045709609985,0.00032913088798522947,0.5814668741749596
flexible,23,instruct_base,ppo_step10,0,10,10,7168,0.9320473074913025,0.9354173541069031,0.9263238906860352,0.9419149160385132,0.6206430792808533,0.006795269250869751,0.9283822774887085,0.9308434128761292,0.007161772251129151,0.8302261547824977
flexible,23,ppo_step10,ppo_step30,10,30,20,7168,0.9650456309318542,0.965596079826355,0.962509036064148,0.9685210585594177,0.631818950176239,0.0017477184534072875,0.9603382349014282,0.9613181352615356,0.0019830882549285887,0.9125584206141004
flexible,23,ppo_step30,ppo_step60,30,60,30,7168,0.972068190574646,0.9724118709564209,0.9701080322265625,0.9746549725532532,0.52577143907547,0.0009310603141784668,0.9685635566711426,0.9693987369537354,0.0010478814442952474,0.9329239341386409
flexible,23,ppo_step60,ppo_step100,60,100,40,7168,0.9735216498374939,0.973713755607605,0.9716662764549255,0.9757910966873169,0.6707441806793213,0.0006619587540626526,0.9709595441818237,0.9716516137123108,0.0007260113954544068,0.912835243387424
flexible,23,ppo_step100,ppo_step140,100,140,40,7168,0.9776901602745056,0.9776365160942078,0.9758355021476746,0.9795441627502441,0.6167893409729004,0.0005577459931373596,0.9756157994270325,0.9760022759437561,0.0006096050143241883,0.9199418226373561
flexible,23,ppo_step140,ppo_step180,140,180,40,7168,0.9790941476821899,0.9789767265319824,0.9772440195083618,0.9808498620986938,0.6512203216552734,0.0005226463079452514,0.9775829315185547,0.9779834747314453,0.0005604267120361328,0.9301652011290321
flexible,23,ppo_step180,ppo_step200,180,200,20,7168,0.9825960993766785,0.9824687242507935,0.9808685779571533,0.9841098785400391,0.7351298332214355,0.0008701950311660767,0.9816389083862305,0.981906533241272,0.0009180545806884765,0.9202513054370104
strict,6,instruct_base,ppo_step10,0,10,10,7168,0.8422983288764954,0.8882330656051636,0.7365648150444031,0.9411077499389648,0.2526140809059143,0.015770167112350464,0.8536322712898254,0.8737632036209106,0.014636772871017455,0.6283316918163181
strict,6,ppo_step10,ppo_step30,10,30,20,7168,0.9438906311988831,0.9675425887107849,0.9288181066513062,0.9788427352905273,0.38643693923950195,0.002805468440055847,0.9176416397094727,0.9606567621231079,0.004117918014526367,0.13808312890995772
strict,6,ppo_step30,ppo_step50,30,50,20,7168,0.9667543768882751,0.9787583947181702,0.9688175320625305,0.9847872257232666,0.46423986554145813,0.0016622811555862427,0.9664825797080994,0.9759632349014282,0.0016758710145950318,0.5957298137891789
strict,6,ppo_step50,ppo_step80,50,80,30,7168,0.9758952260017395,0.9852110743522644,0.9797887206077576,0.9893585443496704,0.3510133922100067,0.0008034924666086833,0.9729071855545044,0.9812009334564209,0.0009030938148498535,0.6362898849117974
strict,6,ppo_step80,ppo_step116,80,116,36,7168,0.9717702865600586,0.9855979084968567,0.9798431992530823,0.9893829226493835,0.2760467529296875,0.0007841587066650391,0.9741156697273254,0.9843475818634033,0.00071900917424096,0.5801009231835483
strict,12,instruct_base,ppo_step10,0,10,10,7168,0.841474711894989,0.8903268575668335,0.7160587310791016,0.9484322667121887,0.23573346436023712,0.015852528810501098,0.8314730525016785,0.8566838502883911,0.016852694749832153,0.43792168843953094
strict,12,ppo_step10,ppo_step30,10,30,20,7168,0.9475692510604858,0.9661593437194824,0.931951105594635,0.977449893951416,0.1929001361131668,0.002621537446975708,0.9152994155883789,0.9504510760307312,0.004235029220581055,0.06443885183410177
strict,12,ppo_step30,ppo_step50,30,50,20,7168,0.9676599502563477,0.9817889928817749,0.9730328917503357,0.9867283701896667,0.2025589942932129,0.0016170024871826171,0.9644492864608765,0.972600519657135,0.0017775356769561767,0.6258123226015585
strict,12,ppo_step50,ppo_step80,50,80,30,7168,0.9756827354431152,0.9867537021636963,0.9814790487289429,0.990871787071228,0.2157014012336731,0.0008105754852294922,0.9682613611221313,0.976491391658783,0.0010579546292622884,0.66016202582856
strict,12,ppo_step80,ppo_step116,80,116,36,7168,0.9784471392631531,0.9900426268577576,0.9848915338516235,0.9929317831993103,0.5923723578453064,0.0005986905760235257,0.9748144149780273,0.9839591383934021,0.0006995995839436849,0.35447640798521424
strict,18,instruct_base,ppo_step10,0,10,10,7168,0.8782476782798767,0.9109711647033691,0.8557800054550171,0.9438070058822632,0.31076210737228394,0.012175232172012329,0.8213268518447876,0.8818775415420532,0.01786731481552124,-0.10426324166419881
strict,18,ppo_step10,ppo_step30,10,30,20,7168,0.8722559809684753,0.9321646690368652,0.8423404693603516,0.9557024836540222,-0.22164681553840637,0.006387200951576233,0.8853315711021423,0.917971134185791,0.005733421444892884,0.7256549324151206
strict,18,ppo_step30,ppo_step50,30,50,20,7168,0.9413014650344849,0.9713820815086365,0.9353173971176147,0.9800267815589905,-0.28016188740730286,0.002934926748275757,0.949853241443634,0.961431622505188,0.0025073379278182984,0.8718510134067143
strict,18,ppo_step50,ppo_step80,50,80,30,7168,0.9886601567268372,0.9931902885437012,0.9878789186477661,0.9953551292419434,0.6786838173866272,0.0003779947757720947,0.9877220392227173,0.9898999929428101,0.00040926535924275714,0.6973452338151662
strict,18,ppo_step80,ppo_step116,80,116,36,7168,0.9848510026931763,0.9908991456031799,0.9853029847145081,0.9939707517623901,0.23870450258255005,0.0004208054807451036,0.9828507304191589,0.986054539680481,0.00047636859946780733,0.3998145942874369
strict,23,instruct_base,ppo_step10,0,10,10,7168,0.9276322722434998,0.9308229088783264,0.9223418831825256,0.9371899366378784,0.5282392501831055,0.007236772775650024,0.9239321947097778,0.9268065094947815,0.007606780529022217,0.8744850830875538
strict,23,ppo_step10,ppo_step30,10,30,20,7168,0.9586081504821777,0.9592397212982178,0.9558360576629639,0.962525486946106,0.6305287480354309,0.0020695924758911133,0.9542455077171326,0.9555460214614868,0.0022877246141433717,0.9186416778867829
strict,23,ppo_step30,ppo_step50,30,50,20,7168,0.9703608751296997,0.9708266854286194,0.9684176445007324,0.9732293486595154,0.5017756819725037,0.0014819562435150146,0.9676564931869507,0.9686013460159302,0.0016171753406524659,0.9547065388588811
strict,23,ppo_step50,ppo_step80,50,80,30,7168,0.9760147333145142,0.9761098623275757,0.9740713834762573,0.9781001210212708,0.5337700247764587,0.0007995088895161946,0.9736843109130859,0.9742083549499512,0.0008771896362304687,0.9156858693272435
strict,23,ppo_step80,ppo_step116,80,116,36,7168,0.9776097536087036,0.9775489568710327,0.9757037162780762,0.9795452952384949,0.5020768642425537,0.0006219512886471219,0.9751134514808655,0.9755197763442993,0.0006912930144204034,0.9516742170361479
shuffled,6,instruct_base,ppo_step10,0,10,10,7168,0.9512459635734558,0.9715057611465454,0.9155280590057373,0.9859372973442078,0.5897305011749268,0.004875403642654419,0.9511787295341492,0.9616723656654358,0.004882127046585083,0.5810005774913557
shuffled,6,ppo_step10,ppo_step30,10,30,20,7168,0.9033740758895874,0.9509938955307007,0.8655713200569153,0.9721568822860718,0.3398626744747162,0.00483129620552063,0.8962692022323608,0.9419142603874207,0.005186539888381958,0.471073657604241
shuffled,12,instruct_base,ppo_step10,0,10,10,7168,0.8519991636276245,0.9029916524887085,0.7352272272109985,0.950913667678833,0.22331061959266663,0.01480008363723755,0.8430651426315308,0.8699272871017456,0.015693485736846924,0.48160787186271486
shuffled,12,ppo_step10,ppo_step30,10,30,20,7168,0.943210244178772,0.9623526334762573,0.9284043312072754,0.9746359586715698,0.30135196447372437,0.002839487791061401,0.9182620048522949,0.9424334168434143,0.004086899757385254,0.24420914175743652
shuffled,18,instruct_base,ppo_step10,0,10,10,7168,0.9723528623580933,0.9806549549102783,0.9637249708175659,0.986764132976532,0.6012242436408997,0.0027647137641906737,0.9555297493934631,0.9747169017791748,0.004447025060653686,0.014537602415467178
shuffled,18,ppo_step10,ppo_step30,10,30,20,7168,0.9073732495307922,0.9421074986457825,0.85874342918396,0.9595712423324585,0.45542705059051514,0.004631337523460388,0.8913002014160156,0.9284696578979492,0.005434989929199219,0.0793327524281873
shuffled,23,instruct_base,ppo_step10,0,10,10,7168,0.9072068929672241,0.9208507537841797,0.887300431728363,0.9337469339370728,0.502314567565918,0.009279310703277588,0.9046176075935364,0.9098849892616272,0.009538239240646363,0.740248506917766
shuffled,23,ppo_step10,ppo_step30,10,30,20,7168,0.9728438258171082,0.9743924736976624,0.9682285785675049,0.9783757925033569,0.048778411000967026,0.0013578087091445923,0.9628395438194275,0.9644228219985962,0.0018580228090286255,0.8646920911953545
