chain,layer,feature_idx,rank,stage_from,stage_to,dec_cos,dec_drift,enc_cos,density_start,density_end
flexible,12,1603,15,instruct_base,ppo_step200,0.09144654870033264,0.9085534811019897,0.32668888568878174,3.3651904232101515e-05,0.004834657069295645
flexible,12,6468,16,instruct_base,ppo_step200,0.09207109361886978,0.9079288840293884,0.2505851686000824,0.00012339031673036516,0.0022098084446042776
flexible,12,5794,17,instruct_base,ppo_step200,0.09241979569196701,0.9075801968574524,0.41160881519317627,2.2434604034060612e-05,0.0022771123331040144
flexible,12,3884,18,instruct_base,ppo_step200,0.09343146532773972,0.9065685272216797,0.4525236487388611,6.730380846420303e-05,0.0017050298629328609
flexible,12,454,19,instruct_base,ppo_step200,0.09573030471801758,0.9042696952819824,0.32369861006736755,0.00032530174939893186,0.0027931081131100655
flexible,12,3831,20,instruct_base,ppo_step200,0.09759469330310822,0.902405321598053,0.286175012588501,0.0002916498342528939,0.0035222326405346394
flexible,18,2353,1,instruct_base,ppo_step200,-0.03420934081077576,1.0342093706130981,0.10384412854909897,0.00010095571633428335,0.016063176095485687
flexible,18,4926,2,instruct_base,ppo_step200,0.0368560329079628,0.9631439447402954,0.4210687577724457,7.852110866224393e-05,0.0011778166517615318
flexible,18,5197,3,instruct_base,ppo_step200,0.05343205854296684,0.946567952632904,0.5039387941360474,0.01654551923274994,0.016063176095485687
flexible,18,552,4,instruct_base,ppo_step200,0.06687226891517639,0.933127760887146,0.2814989387989044,0.0002243460330646485,0.001189033966511488
flexible,18,3712,5,instruct_base,ppo_step200,0.06846190989017487,0.9315381050109863,0.40339192748069763,0.00014582491712644696,0.0024341545067727566
flexible,18,2560,6,instruct_base,ppo_step200,0.0734749361872673,0.9265250563621521,0.26665422320365906,0.0001906941324705258,0.0019069412956014276
flexible,18,5195,7,instruct_base,ppo_step200,0.07430879771709442,0.9256911873817444,0.19420696794986725,0.03085879608988762,0.004116749856621027
flexible,18,7000,8,instruct_base,ppo_step200,0.07603444159030914,0.923965573310852,0.24241842329502106,0.00032530174939893186,0.0017050298629328609
flexible,18,717,9,instruct_base,ppo_step200,0.07660698890686035,0.9233930110931396,0.38874518871307373,8.973841613624245e-05,0.0032305829226970673
flexible,18,4046,10,instruct_base,ppo_step200,0.07795191556215286,0.9220480918884277,0.24058488011360168,0.0001906941324705258,0.0034661462996155024
flexible,18,3795,11,instruct_base,ppo_step200,0.0788879245519638,0.921112060546875,0.28820428252220154,0.0001906941324705258,0.0020976352971047163
flexible,18,3267,12,instruct_base,ppo_step200,0.07992333173751831,0.9200766682624817,0.049899544566869736,0.0002243460330646485,0.002995019545778632
flexible,18,5705,13,instruct_base,ppo_step200,0.08107613027095795,0.9189238548278809,0.275653213262558,0.00013460761692840606,0.0028716293163597584
flexible,18,5060,14,instruct_base,ppo_step200,0.08252274990081787,0.9174772500991821,0.18239173293113708,0.00011217301653232425,0.011419213376939297
flexible,18,4995,15,instruct_base,ppo_step200,0.08311007171869278,0.9168899059295654,0.10672368109226227,0.0005720823537558317,0.0016265087760984898
flexible,18,2543,16,instruct_base,ppo_step200,0.08556018769741058,0.9144397974014282,0.03480115905404091,0.0002131287328666076,0.0032866692636162043
flexible,18,3989,17,instruct_base,ppo_step200,0.08579398691654205,0.9142060279846191,0.20585164427757263,0.00014582491712644696,0.006360210012644529
flexible,18,5279,18,instruct_base,ppo_step200,0.08615271747112274,0.9138472676277161,0.3866904675960541,0.00014582491712644696,0.0020976352971047163
flexible,18,4687,19,instruct_base,ppo_step200,0.08809644728899002,0.9119035601615906,0.20709559321403503,0.00028043254860676825,0.005171176046133041
flexible,18,3874,20,instruct_base,ppo_step200,0.0888991430401802,0.9111008644104004,0.14053642749786377,0.00034773634979501367,0.002680934965610504
flexible,23,3089,1,instruct_base,ppo_step200,0.13625410199165344,0.863745927810669,0.10798367857933044,0.057544756680727005,0.22951720654964447
flexible,23,5482,2,instruct_base,ppo_step200,0.1506473422050476,0.8493526577949524,0.12421634048223495,0.03487459197640419,0.1987481564283371
flexible,23,1073,3,instruct_base,ppo_step200,0.15168705582618713,0.8483129739761353,0.1109665036201477,0.00937766395509243,0.1980638951063156
flexible,23,1658,4,instruct_base,ppo_step200,0.19116047024726868,0.8088395595550537,0.16623465716838837,0.05743258446455002,0.21987032890319824
flexible,23,1218,5,instruct_base,ppo_step200,0.19156308472156525,0.808436930179596,0.12801985442638397,0.03956342115998268,0.2786490023136139
flexible,23,6692,6,instruct_base,ppo_step200,0.1986534595489502,0.8013465404510498,0.1915244460105896,0.07336115092039108,0.2392313927412033
flexible,23,7078,7,instruct_base,ppo_step200,0.20061765611171722,0.7993823289871216,0.16322165727615356,0.028491945937275887,0.239410862326622
flexible,23,6048,8,instruct_base,ppo_step200,0.2022770792245865,0.7977229356765747,0.19516198337078094,0.07230672240257263,0.34383273124694824
flexible,23,5259,9,instruct_base,ppo_step200,0.20496252179145813,0.7950375080108643,0.184085875749588,0.041246019303798676,0.24780140817165375
flexible,23,2413,10,instruct_base,ppo_step200,0.20564055442810059,0.7943594455718994,0.18492136895656586,0.030241845175623894,0.2672073543071747
flexible,23,2949,11,instruct_base,ppo_step200,0.21119484305381775,0.7888051271438599,0.19247321784496307,0.019630277529358864,0.19880422949790955
